Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
11606.18 5442.77 -161.89 4.06 -0.56 0.15 0.61 3 65.787 74.511 6005.888
11605.78 5442.7 -161.88 4.06 -0.56 0.15 0.61 3 65.79 74.461 6005.483
11605.37 5442.63 -161.86 4.06 -0.56 0.15 0.61 3 65.77 74.384 6005.069
11604.97 5442.55 -161.85 4.06 -0.56 0.15 0.61 3 65.763 74.344 6004.662
11604.56 5442.48 -161.83 4.07 -0.56 0.15 0.63 3 65.743 74.268 6004.247
11604.16 5442.41 -161.82 4.07 -0.56 0.15 0.63 3 65.746 74.218 6003.842
11603.76 5442.33 -161.8 4.07 -0.56 0.15 0.63 3 65.714 74.153 6003.435
11603.35 5442.26 -161.79 4.07 -0.57 0.15 0.63 3 65.719 74.101 6003.02
11602.95 5442.19 -161.77 4.07 -0.57 0.15 0.63 3 65.697 74.027 6002.616
11602.54 5442.11 -161.76 4.07 -0.57 0.15 0.63 3 65.692 73.984 6002.199
11602.14 5442.04 -161.75 4.07 -0.57 0.15 0.63 3 65.695 73.934 6001.794
11601.73 5441.97 -161.73 4.07 -0.57 0.15 0.63 3 65.675 73.858 6001.379
11601.33 5441.89 -161.72 4.07 -0.57 0.15 0.63 3 65.668 73.817 6000.972
11600.93 5441.82 -161.7 4.08 -0.57 0.15 0.63 3 65.646 73.743 6000.567
11600.52 5441.74 -161.69 4.08 -0.57 0.15 0.63 3 65.641 73.701 6000.15
11600.12 5441.67 -161.67 4.08 -0.57 0.15 0.63 3 65.619 73.627 5999.745
11599.71 5441.6 -161.66 4.08 -0.57 0.15 0.63 3 65.624 73.574 5999.331
11599.31 5441.52 -161.64 4.08 -0.57 0.15 0.63 3 65.593 73.51 5998.924
11598.9 5441.45 -161.63 4.08 -0.58 0.15 0.63 3 65.597 73.457 5998.509
11598.5 5441.38 -161.61 4.08 -0.58 0.15 0.63 3 65.576 73.383 5998.104
11598.09 5441.3 -161.6 4.08 -0.58 0.15 0.63 3 65.571 73.341 5997.687
11597.69 5441.23 -161.58 4.08 -0.58 0.15 0.63 3 65.549 73.267 5997.282
11597.28 5441.15 -161.57 4.08 -0.58 0.15 0.63 3 65.544 73.224 5996.865
11596.88 5441.08 -161.55 4.07 -0.58 0.15 0.63 3 65.522 73.15 5996.461
11596.47 5441.01 -161.54 4.07 -0.58 0.15 0.63 3 65.527 73.098 5996.046
11596.07 5440.93 -161.52 4.07 -0.58 0.15 0.63 3 65.496 73.033 5995.639
11595.66 5440.86 -161.51 4.07 -0.58 0.15 0.63 3 65.5 72.981 5995.224
11595.26 5440.78 -161.49 4.07 -0.58 0.15 0.63 3 65.469 72.917 5994.817
11594.85 5440.71 -161.48 4.07 -0.58 0.15 0.63 3 65.474 72.864 5994.403
11594.45 5440.63 -161.47 4.07 -0.58 0.15 0.63 3 65.466 72.824 5993.995
11594.04 5440.56 -161.45 4.07 -0.58 0.15 0.63 3 65.447 72.748 5993.581
11593.64 5440.49 -161.44 4.07 -0.58 0.15 0.63 3 65.449 72.698 5993.176
11593.24 5440.41 -161.42 4.06 -0.58 0.15 0.63 3 65.418 72.634 5992.769
11592.83 5440.34 -161.41 4.06 -0.58 0.15 0.63 3 65.423 72.581 5992.354
11592.43 5440.26 -161.39 4.06 -0.58 0.15 0.63 3 65.392 72.517 5991.947
11592.03 5440.19 -161.38 4.06 -0.58 0.15 0.63 3 65.394 72.467 5991.542
11591.62 5440.11 -161.36 4.06 -0.58 0.15 0.63 3 65.365 72.4 5991.125
11591.22 5440.04 -161.35 4.06 -0.58 0.15 0.63 3 65.367 72.35 5990.72
11590.82 5439.96 -161.33 4.05 -0.58 0.15 0.63 3 65.336 72.286 5990.313
11590.42 5439.89 -161.32 4.05 -0.58 0.15 0.63 3 65.338 72.236 5989.908
11590.01 5439.81 -161.3 4.05 -0.58 0.15 0.63 3 65.309 72.17 5989.491
11589.61 5439.74 -161.29 4.05 -0.58 0.15 0.63 3 65.312 72.119 5989.086
11589.21 5439.66 -161.27 4.05 -0.58 0.15 0.63 3 65.28 72.055 5988.679
11588.81 5439.59 -161.26 4.04 -0.58 0.15 0.63 3 65.283 72.005 5988.274
11588.41 5439.51 -161.25 4.04 -0.58 0.15 0.63 3 65.275 71.965 5987.867
11588.01 5439.44 -161.23 4.04 -0.58 0.15 0.63 3 65.254 71.891 5987.462
11587.6 5439.36 -161.22 4.04 -0.58 0.15 0.63 3 65.249 71.848 5987.045
11587.2 5439.29 -161.2 4.03 -0.58 0.14 0.63 3 65.227 71.774 5986.64
11586.8 5439.21 -161.19 4.03 -0.58 0.14 0.63 3 65.22 71.734 5986.233
11586.4 5439.14 -161.17 4.03 -0.58 0.14 0.63 3 65.198 71.66 5985.828
11586.0 5439.06 -161.16 4.03 -0.57 0.14 0.63 3 65.191 71.62 5985.421
11585.6 5438.98 -161.14 4.02 -0.57 0.14 0.63 3 65.16 71.556 5985.013
11585.21 5438.91 -161.13 4.02 -0.57 0.14 0.63 3 65.16 71.508 5984.618
11584.81 5438.83 -161.12 4.02 -0.57 0.14 0.63 3 65.152 71.468 5984.211
11584.41 5438.76 -161.1 4.02 -0.57 0.14 0.63 3 65.131 71.394 5983.806
11584.01 5438.68 -161.09 4.01 -0.57 0.14 0.63 3 65.124 71.354 5983.399
11583.61 5438.61 -161.07 4.01 -0.57 0.14 0.63 3 65.102 71.28 5982.994
11583.21 5438.53 -161.06 4.01 -0.57 0.14 0.63 3 65.095 71.24 5982.587
11582.82 5438.45 -161.04 4.01 -0.57 0.14 0.63 3 65.061 71.178 5982.189
11582.42 5438.38 -161.03 4.0 -0.57 0.14 0.63 3 65.063 71.128 5981.784
11582.02 5438.3 -161.02 4.0 -0.57 0.14 0.63 3 65.056 71.087 5981.377
11581.62 5438.22 -161.0 4.0 -0.57 0.14 0.63 3 65.025 71.023 5980.97
11581.23 5438.15 -160.99 4.0 -0.57 0.14 0.63 3 65.025 70.976 5980.575
11580.83 5438.07 -160.97 4.0 -0.57 0.14 0.63 3 64.994 70.912 5980.167
11580.43 5438.0 -160.96 3.99 -0.57 0.14 0.63 3 64.996 70.862 5979.763
11580.04 5437.92 -160.95 3.99 -0.57 0.14 0.63 3 64.986 70.824 5979.365
11579.64 5437.84 -160.93 3.99 -0.57 0.14 0.63 3 64.955 70.76 5978.958
11579.25 5437.77 -160.92 3.99 -0.57 0.14 0.63 3 64.955 70.712 5978.562
11578.85 5437.69 -160.9 3.98 -0.57 0.14 0.63 3 64.924 70.648 5978.155
11578.46 5437.61 -160.89 3.98 -0.57 0.14 0.63 3 64.914 70.61 5977.758
