Navio: Suezmax T172
Cenário: Extremo
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: SE 25nós 
Onda: 2.25m 12s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
10835.79 5272.96 -160.05 4.1 -0.27 -0.0 -0.0 4 77.758 53.656 5217.564
10835.4 5272.85 -160.05 4.1 -0.27 -0.0 -0.0 4 77.743 53.671 5217.159
10835.0 5272.73 -160.05 4.1 -0.27 -0.0 -0.0 4 77.721 53.693 5216.742
10834.61 5272.62 -160.05 4.1 -0.27 -0.0 -0.0 4 77.706 53.708 5216.337
10834.22 5272.51 -160.05 4.1 -0.27 -0.0 -0.0 4 77.691 53.723 5215.932
10833.82 5272.39 -160.05 4.1 -0.27 -0.0 -0.0 4 77.668 53.745 5215.514
10833.43 5272.28 -160.05 4.1 -0.27 -0.0 -0.0 4 77.653 53.76 5215.109
10833.03 5272.16 -160.05 4.1 -0.27 -0.0 -0.0 4 77.631 53.783 5214.692
10832.64 5272.05 -160.05 4.1 -0.28 -0.0 -0.0 4 77.616 53.798 5214.287
10832.24 5271.94 -160.05 4.1 -0.28 -0.0 -0.0 4 77.603 53.81 5213.872
10831.85 5271.82 -160.05 4.1 -0.28 -0.0 -0.0 4 77.578 53.835 5213.464
10831.45 5271.71 -160.05 4.1 -0.28 -0.0 -0.0 4 77.565 53.848 5213.049
10831.06 5271.59 -160.05 4.1 -0.28 -0.0 -0.0 4 77.541 53.873 5212.642
10830.67 5271.48 -160.05 4.1 -0.28 -0.0 -0.0 4 77.525 53.888 5212.236
10830.27 5271.37 -160.05 4.1 -0.28 -0.0 -0.0 4 77.513 53.9 5211.822
10829.88 5271.25 -160.05 4.1 -0.28 -0.0 -0.01 4 77.488 53.925 5211.414
10829.48 5271.14 -160.06 4.1 -0.28 -0.0 -0.01 4 77.499 53.961 5210.999
10829.09 5271.03 -160.06 4.1 -0.28 -0.0 -0.01 4 77.484 53.976 5210.594
10828.69 5270.91 -160.06 4.1 -0.28 -0.0 -0.01 4 77.461 53.999 5210.177
10828.3 5270.8 -160.06 4.1 -0.28 -0.0 -0.01 4 77.446 54.014 5209.771
10827.9 5270.69 -160.06 4.1 -0.28 -0.0 -0.01 4 77.434 54.026 5209.357
10827.51 5270.57 -160.06 4.1 -0.28 -0.0 -0.01 4 77.409 54.051 5208.949
10827.12 5270.46 -160.06 4.1 -0.28 -0.0 -0.01 4 77.394 54.066 5208.544
10826.72 5270.34 -160.06 4.1 -0.28 -0.0 -0.01 4 77.371 54.089 5208.126
10826.33 5270.23 -160.06 4.1 -0.28 -0.0 -0.01 4 77.356 54.104 5207.721
10825.93 5270.12 -160.06 4.1 -0.28 -0.0 -0.01 4 77.343 54.116 5207.306
10825.54 5270.0 -160.06 4.1 -0.28 -0.0 -0.01 4 77.319 54.141 5206.899
10825.14 5269.89 -160.06 4.1 -0.28 -0.0 -0.01 4 77.306 54.154 5206.484
10824.75 5269.78 -160.06 4.1 -0.28 -0.0 -0.01 4 77.291 54.169 5206.079
10824.35 5269.66 -160.06 4.1 -0.28 -0.0 -0.01 4 77.268 54.191 5205.661
10823.96 5269.55 -160.06 4.1 -0.28 -0.0 -0.01 4 77.253 54.206 5205.256
10823.56 5269.44 -160.06 4.1 -0.28 -0.0 -0.01 4 77.241 54.219 5204.841
10823.17 5269.32 -160.06 4.1 -0.28 -0.0 -0.01 4 77.216 54.243 5204.434
10822.77 5269.21 -160.06 4.1 -0.28 -0.0 -0.01 4 77.203 54.256 5204.019
10822.38 5269.1 -160.06 4.1 -0.28 -0.0 -0.01 4 77.188 54.271 5203.614
10821.99 5268.98 -160.06 4.1 -0.28 -0.0 -0.01 4 77.163 54.296 5203.206
10821.59 5268.87 -160.06 4.1 -0.28 -0.0 -0.01 4 77.15 54.309 5202.791
10821.2 5268.76 -160.06 4.1 -0.28 -0.0 -0.01 4 77.135 54.324 5202.386
10820.8 5268.64 -160.06 4.1 -0.28 -0.0 -0.01 4 77.113 54.346 5201.969
10820.41 5268.53 -160.06 4.1 -0.28 -0.0 -0.01 4 77.098 54.361 5201.563
10820.01 5268.42 -160.07 4.09 -0.28 -0.0 -0.01 4 77.109 54.397 5201.149
10819.62 5268.3 -160.07 4.09 -0.28 -0.0 -0.01 4 77.084 54.422 5200.741
10819.22 5268.19 -160.07 4.09 -0.28 -0.0 -0.01 4 77.071 54.435 5200.326
10818.83 5268.07 -160.07 4.09 -0.28 -0.0 -0.01 4 77.046 54.459 5199.918
10818.44 5267.96 -160.07 4.09 -0.28 -0.0 -0.01 4 77.031 54.474 5199.513
10818.04 5267.85 -160.07 4.09 -0.28 -0.0 -0.01 4 77.019 54.487 5199.098
10817.65 5267.73 -160.07 4.09 -0.28 -0.0 -0.01 4 76.994 54.512 5198.691
10817.25 5267.62 -160.07 4.09 -0.28 -0.0 -0.01 4 76.981 54.525 5198.276
10816.86 5267.51 -160.07 4.09 -0.27 -0.0 -0.01 4 76.966 54.54 5197.871
10816.47 5267.39 -160.07 4.08 -0.27 -0.0 -0.01 4 76.941 54.564 5197.463
10816.07 5267.28 -160.07 4.08 -0.27 -0.0 -0.01 4 76.928 54.577 5197.048
10815.68 5267.17 -160.07 4.08 -0.27 -0.0 -0.01 4 76.913 54.592 5196.643
10815.29 5267.05 -160.07 4.08 -0.27 -0.0 -0.01 4 76.889 54.617 5196.235
