Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 20 nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-158.26 3.08 -0.08 -0.05 -0.61 2 10.225 3625.533
-158.27 3.08 -0.08 -0.05 -0.61 2 10.196 3625.227
-158.27 3.08 -0.08 -0.05 -0.61 2 10.158 3624.918
-158.28 3.08 -0.09 -0.05 -0.61 2 10.119 3624.609
-158.28 3.08 -0.09 -0.06 -0.61 2 10.09 3624.303
-158.29 3.08 -0.09 -0.06 -0.61 2 10.052 3623.995
-158.3 3.09 -0.09 -0.06 -0.61 2 10.023 3623.688
-158.3 3.09 -0.09 -0.06 -0.61 2 9.984 3623.38
-158.31 3.09 -0.09 -0.06 -0.61 2 9.955 3623.074
-158.31 3.09 -0.1 -0.07 -0.61 2 9.917 3622.765
-158.32 3.09 -0.1 -0.07 -0.61 2 9.888 3622.459
-158.33 3.09 -0.1 -0.07 -0.61 2 9.849 3622.15
-158.34 3.09 -0.1 -0.08 -0.61 2 9.82 3621.844
-158.34 3.09 -0.1 -0.08 -0.61 2 9.782 3621.535
-158.35 3.09 -0.1 -0.09 -0.61 2 9.753 3621.229
-158.36 3.09 -0.11 -0.09 -0.61 2 9.714 3620.921
-158.37 3.09 -0.11 -0.09 -0.61 2 9.685 3620.615
-158.38 3.08 -0.11 -0.1 -0.61 2 9.656 3620.309
-158.39 3.08 -0.11 -0.1 -0.61 2 9.618 3620.0
-158.4 3.08 -0.11 -0.1 -0.61 2 9.589 3619.694
-158.41 3.08 -0.11 -0.11 -0.61 2 9.56 3619.388
-158.42 3.08 -0.11 -0.11 -0.61 2 9.521 3619.079
-158.43 3.08 -0.11 -0.12 -0.61 2 9.495 3618.763
-158.44 3.08 -0.12 -0.12 -0.61 2 9.466 3618.457
-158.46 3.08 -0.12 -0.12 -0.61 2 9.437 3618.151
-158.47 3.08 -0.12 -0.13 -0.61 2 9.399 3617.842
-158.48 3.08 -0.12 -0.13 -0.61 2 9.37 3617.536
-158.5 3.08 -0.12 -0.14 -0.61 2 9.341 3617.23
-158.51 3.08 -0.12 -0.14 -0.61 2 9.312 3616.924
-158.52 3.08 -0.12 -0.14 -0.61 2 9.283 3616.618
-158.54 3.07 -0.12 -0.15 -0.61 2 9.254 3616.312
-158.55 3.07 -0.12 -0.15 -0.61 2 9.215 3616.003
-158.57 3.07 -0.12 -0.15 -0.61 2 9.187 3615.697
-158.58 3.07 -0.12 -0.16 -0.61 2 9.158 3615.391
-158.6 3.07 -0.12 -0.16 -0.61 2 9.129 3615.085
-158.62 3.07 -0.12 -0.16 -0.61 2 9.1 3614.779
-158.63 3.07 -0.12 -0.16 -0.61 2 9.071 3614.473
-158.65 3.07 -0.12 -0.17 -0.61 2 9.042 3614.167
-158.67 3.06 -0.12 -0.17 -0.61 2 9.013 3613.861
-158.68 3.06 -0.12 -0.17 -0.61 2 8.984 3613.555
-158.7 3.06 -0.12 -0.17 -0.61 2 8.956 3613.249
-158.72 3.06 -0.12 -0.18 -0.61 2 8.927 3612.943
-158.73 3.06 -0.12 -0.18 -0.61 2 8.898 3612.637
-158.75 3.06 -0.12 -0.18 -0.61 2 8.869 3612.33
-158.77 3.06 -0.12 -0.18 -0.61 2 8.84 3612.024
-158.79 3.05 -0.12 -0.18 -0.61 2 8.811 3611.718
-158.81 3.05 -0.11 -0.18 -0.61 2 8.782 3611.412
-158.83 3.05 -0.11 -0.18 -0.61 2 8.753 3611.106
-158.84 3.05 -0.11 -0.18 -0.61 2 8.722 3610.81
-158.86 3.05 -0.11 -0.18 -0.61 2 8.693 3610.504
-158.88 3.05 -0.11 -0.18 -0.61 2 8.664 3610.198
-158.9 3.05 -0.11 -0.18 -0.61 2 8.635 3609.892
-158.92 3.05 -0.11 -0.18 -0.61 2 8.607 3609.585
-158.94 3.05 -0.11 -0.18 -0.61 2 8.578 3609.279
-158.95 3.05 -0.11 -0.18 -0.61 2 8.546 3608.983
-158.97 3.04 -0.11 -0.18 -0.61 2 8.518 3608.677
-158.99 3.04 -0.11 -0.18 -0.61 2 8.489 3608.371
