Navio: Suezmax L280B50T17
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
10321.58 5152.51 -161.0 3.6 -0.51 0.0 0.0 0 127.605 53.881 3230.065
10321.22 5152.44 -161.0 3.6 -0.51 0.0 0.0 0 127.625 53.861 3229.699
10320.87 5152.37 -161.0 3.6 -0.51 0.0 0.0 0 127.643 53.843 3229.343
10320.51 5152.3 -161.0 3.6 -0.51 0.0 0.0 0 127.663 53.823 3228.977
10320.15 5152.23 -161.0 3.6 -0.51 0.0 0.0 0 127.683 53.802 3228.611
10319.8 5152.16 -161.0 3.6 -0.51 0.0 0.0 0 127.701 53.785 3228.255
10319.44 5152.09 -161.0 3.6 -0.51 0.0 0.0 0 127.721 53.764 3227.889
10319.08 5152.03 -161.0 3.6 -0.51 0.0 0.0 0 127.751 53.735 3227.526
10318.73 5151.96 -161.0 3.6 -0.51 0.0 0.0 0 127.769 53.717 3227.17
10318.37 5151.89 -161.0 3.6 -0.51 0.0 0.0 0 127.789 53.697 3226.804
10318.01 5151.82 -161.0 3.6 -0.51 0.0 0.0 0 127.809 53.676 3226.438
10317.66 5151.75 -161.0 3.6 -0.51 0.0 0.0 0 127.827 53.659 3226.082
10317.3 5151.68 -161.0 3.6 -0.51 0.0 0.0 0 127.847 53.638 3225.716
10316.94 5151.61 -161.0 3.59 -0.51 0.0 0.0 0 127.867 53.618 3225.35
10316.59 5151.54 -161.0 3.59 -0.51 0.0 0.0 0 127.885 53.601 3224.994
10316.23 5151.47 -161.0 3.59 -0.51 0.0 0.0 0 127.905 53.58 3224.628
10315.87 5151.41 -161.0 3.59 -0.51 0.01 0.0 0 127.935 53.55 3224.264
10315.52 5151.34 -161.0 3.59 -0.51 0.01 0.0 0 127.952 53.533 3223.908
10315.16 5151.27 -160.99 3.59 -0.51 0.01 0.0 0 127.949 53.489 3223.542
10314.81 5151.2 -160.99 3.59 -0.51 0.01 0.0 0 127.966 53.471 3223.186
10314.45 5151.13 -160.99 3.59 -0.51 0.01 0.0 0 127.986 53.451 3222.82
10314.09 5151.06 -160.99 3.59 -0.51 0.01 0.0 0 128.007 53.431 3222.454
10313.74 5150.99 -160.99 3.59 -0.51 0.01 0.0 0 128.024 53.413 3222.098
10313.38 5150.92 -160.99 3.59 -0.51 0.01 0.0 0 128.044 53.393 3221.732
10313.02 5150.85 -160.99 3.59 -0.51 0.01 0.0 0 128.065 53.372 3221.366
10312.67 5150.78 -160.99 3.59 -0.51 0.01 0.0 0 128.082 53.355 3221.01
10312.31 5150.71 -160.99 3.59 -0.51 0.01 0.0 0 128.102 53.334 3220.644
10311.96 5150.65 -160.99 3.59 -0.51 0.01 0.0 0 128.13 53.307 3220.291
10311.6 5150.58 -160.99 3.59 -0.51 0.01 0.0 0 128.15 53.287 3219.925
10311.24 5150.51 -160.99 3.59 -0.51 0.01 0.0 0 128.17 53.267 3219.559
10310.89 5150.44 -160.99 3.59 -0.5 0.01 0.0 0 128.188 53.249 3219.203
10310.53 5150.37 -160.98 3.59 -0.5 0.01 0.0 0 128.184 53.205 3218.837
10310.18 5150.3 -160.98 3.59 -0.5 0.01 0.0 0 128.202 53.187 3218.48
10309.82 5150.23 -160.98 3.59 -0.5 0.01 0.0 0 128.222 53.167 3218.115
