Navio: Capesize L300B50T19
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada e Atracação Cocaia
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-160.95 2.82 -0.21 0.02 -0.09 1 16.215 4529.199
-160.95 2.82 -0.21 0.02 -0.09 1 16.213 4528.921
-160.94 2.82 -0.21 0.02 -0.09 1 16.214 4528.632
-160.94 2.82 -0.21 0.02 -0.09 1 16.212 4528.353
-160.94 2.82 -0.21 0.02 -0.09 1 16.21 4528.074
-160.94 2.82 -0.21 0.02 -0.09 1 16.201 4527.783
-160.94 2.82 -0.21 0.02 -0.09 1 16.199 4527.504
-160.94 2.82 -0.21 0.02 -0.09 1 16.198 4527.225
-160.93 2.82 -0.21 0.02 -0.09 1 16.198 4526.937
-160.93 2.82 -0.21 0.02 -0.09 1 16.196 4526.658
-160.93 2.82 -0.21 0.02 -0.09 1 16.185 4526.376
-160.93 2.82 -0.21 0.02 -0.09 1 16.185 4526.088
-160.93 2.82 -0.21 0.02 -0.09 1 16.184 4525.809
-160.93 2.82 -0.21 0.02 -0.09 1 16.182 4525.53
-160.92 2.82 -0.21 0.02 -0.09 1 16.182 4525.241
-160.92 2.82 -0.21 0.02 -0.09 1 16.171 4524.96
-160.92 2.82 -0.21 0.02 -0.09 1 16.169 4524.681
-160.92 2.82 -0.21 0.02 -0.09 1 16.17 4524.392
-160.92 2.82 -0.21 0.02 -0.09 1 16.168 4524.113
-160.91 2.82 -0.21 0.02 -0.09 1 16.166 4523.834
-160.91 2.82 -0.21 0.02 -0.09 1 16.164 4523.555
-160.91 2.81 -0.21 0.02 -0.09 1 16.155 4523.264
-160.91 2.81 -0.21 0.02 -0.09 1 16.153 4522.985
-160.91 2.81 -0.21 0.02 -0.09 1 16.151 4522.706
-160.91 2.81 -0.21 0.02 -0.09 1 16.152 4522.418
-160.9 2.81 -0.21 0.02 -0.09 1 16.15 4522.139
-160.9 2.81 -0.21 0.02 -0.09 1 16.138 4521.857
-160.9 2.81 -0.21 0.02 -0.09 1 16.139 4521.569
-160.9 2.81 -0.21 0.02 -0.09 1 16.137 4521.29
-160.9 2.81 -0.21 0.02 -0.09 1 16.135 4521.011
-160.9 2.81 -0.21 0.02 -0.09 1 16.134 4520.732
-160.89 2.81 -0.21 0.02 -0.09 1 16.134 4520.443
-160.89 2.81 -0.21 0.02 -0.09 1 16.123 4520.162
-160.89 2.81 -0.21 0.02 -0.09 1 16.121 4519.883
-160.89 2.81 -0.21 0.02 -0.09 1 16.119 4519.604
-160.89 2.81 -0.21 0.02 -0.09 1 16.12 4519.316
-160.88 2.81 -0.21 0.02 -0.09 1 16.118 4519.037
-160.88 2.81 -0.21 0.02 -0.09 1 16.106 4518.755
-160.88 2.81 -0.21 0.02 -0.09 1 16.104 4518.476
-160.88 2.81 -0.21 0.02 -0.09 1 16.102 4518.197
-160.88 2.81 -0.21 0.02 -0.09 1 16.103 4517.909
-160.88 2.81 -0.21 0.02 -0.09 1 16.101 4517.63
-160.87 2.81 -0.21 0.02 -0.09 1 16.099 4517.351
-160.87 2.81 -0.21 0.02 -0.09 1 16.088 4517.069
-160.87 2.8 -0.21 0.02 -0.09 1 16.088 4516.781
-160.87 2.8 -0.21 0.02 -0.09 1 16.087 4516.502
-160.87 2.8 -0.21 0.02 -0.09 1 16.085 4516.223
-160.86 2.8 -0.21 0.02 -0.09 1 16.083 4515.944
-160.86 2.8 -0.21 0.02 -0.09 1 16.081 4515.665
-160.86 2.8 -0.21 0.02 -0.09 1 16.072 4515.374
-160.86 2.8 -0.21 0.02 -0.09 1 16.07 4515.095
-160.86 2.8 -0.21 0.02 -0.09 1 16.068 4514.816
-160.86 2.8 -0.21 0.02 -0.09 1 16.066 4514.537
-160.85 2.8 -0.21 0.02 -0.09 1 16.065 4514.258
-160.85 2.8 -0.21 0.02 -0.09 1 16.063 4513.979
-160.85 2.8 -0.21 0.02 -0.09 1 16.054 4513.688
-160.85 2.8 -0.21 0.02 -0.09 1 16.052 4513.409
-160.85 2.8 -0.21 0.02 -0.09 1 16.05 4513.13
-160.84 2.8 -0.21 0.02 -0.09 1 16.048 4512.852
-160.84 2.8 -0.22 0.02 -0.09 1 16.046 4512.573
-160.84 2.8 -0.22 0.02 -0.09 1 16.044 4512.294
-160.84 2.8 -0.22 0.02 -0.09 1 16.035 4512.003
-160.84 2.8 -0.22 0.02 -0.09 1 16.033 4511.724
-160.83 2.8 -0.22 0.02 -0.09 1 16.032 4511.445
-160.83 2.8 -0.22 0.02 -0.09 1 16.03 4511.166
-160.83 2.8 -0.22 0.02 -0.09 1 16.028 4510.887
-160.83 2.8 -0.22 0.02 -0.09 1 16.026 4510.608
-160.83 2.8 -0.22 0.02 -0.09 1 16.027 4510.319
-160.83 2.8 -0.22 0.02 -0.09 1 16.015 4510.038
-160.82 2.8 -0.22 0.02 -0.09 1 16.013 4509.759
-160.82 2.8 -0.22 0.02 -0.09 1 16.011 4509.48
-160.82 2.8 -0.22 0.02 -0.09 1 16.01 4509.201
-160.82 2.8 -0.22 0.02 -0.09 1 16.008 4508.922
-160.82 2.8 -0.22 0.02 -0.09 1 16.006 4508.643
-160.81 2.8 -0.22 0.02 -0.09 1 15.997 4508.352
-160.81 2.8 -0.22 0.02 -0.09 1 15.995 4508.073
-160.81 2.8 -0.22 0.02 -0.09 1 15.993 4507.794
-160.81 2.8 -0.22 0.02 -0.09 1 15.991 4507.515
-160.81 2.8 -0.22 0.02 -0.09 1 15.989 4507.237
-160.8 2.8 -0.22 0.02 -0.09 1 15.978 4506.955
-160.8 2.8 -0.22 0.02 -0.09 1 15.979 4506.666
-160.8 2.8 -0.22 0.02 -0.09 1 15.977 4506.388
-160.8 2.8 -0.22 0.02 -0.09 1 15.975 4506.109
-160.8 2.8 -0.22 0.02 -0.09 1 15.973 4505.83
-160.79 2.8 -0.22 0.02 -0.09 1 15.971 4505.551
-160.79 2.8 -0.22 0.02 -0.09 1 15.96 4505.269
-160.79 2.8 -0.22 0.02 -0.09 1 15.96 4504.981
-160.79 2.8 -0.22 0.02 -0.09 1 15.958 4504.702
-160.79 2.8 -0.22 0.02 -0.09 1 15.957 4504.423
-160.78 2.8 -0.22 0.02 -0.09 1 15.955 4504.144
-160.78 2.8 -0.22 0.02 -0.09 1 15.943 4503.863
-160.78 2.8 -0.22 0.02 -0.01 1 15.944 4503.574
-160.78 2.8 -0.22 0.02 -0.01 1 15.942 4503.295
-160.78 2.8 -0.22 0.02 -0.01 1 15.94 4503.016
-160.78 2.8 -0.22 0.02 -0.01 1 15.938 4502.737
-160.77 2.8 -0.22 0.02 0.01 1 15.936 4502.458
-160.77 2.8 -0.22 0.02 0.01 1 15.925 4502.177
-160.77 2.8 -0.22 0.02 0.01 1 15.925 4501.888
-160.77 2.8 -0.22 0.02 0.01 1 15.924 4501.609
-160.77 2.8 -0.22 0.02 0.01 1 15.922 4501.33
-160.76 2.8 -0.22 0.02 0.01 1 15.92 4501.051
-160.76 2.8 -0.22 0.02 0.01 1 15.908 4500.77
-160.76 2.81 -0.22 0.02 0.01 1 15.909 4500.481
-160.76 2.81 -0.22 0.02 -0.0 1 15.907 4500.202
-160.76 2.81 -0.22 0.02 -0.0 1 15.905 4499.924
-160.75 2.81 -0.22 0.02 -0.0 1 15.894 4499.642
-160.75 2.81 -0.22 0.02 -0.0 1 15.892 4499.363
-160.75 2.81 -0.22 0.02 -0.0 1 15.893 4499.075
-160.75 2.81 -0.22 0.02 -0.0 1 15.891 4498.796
-160.75 2.81 -0.22 0.02 -0.0 1 15.889 4498.517
-160.74 2.81 -0.22 0.02 -0.0 1 15.877 4498.235
-160.74 2.81 -0.22 0.02 -0.0 1 15.875 4497.956
-160.74 2.81 -0.22 0.02 -0.0 1 15.876 4497.668
-160.74 2.81 -0.22 0.02 -0.0 1 15.874 4497.389
-160.74 2.81 -0.22 0.02 -0.0 1 15.872 4497.11
