Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
10026.54 5069.71 -158.17 3.08 -0.06 -0.05 0.09 1 71.706 61.467 4383.244
10026.25 5069.6 -158.17 3.09 -0.06 -0.05 0.09 1 71.667 61.506 4382.935
10025.96 5069.49 -158.18 3.09 -0.06 -0.05 0.09 1 71.649 61.565 4382.627
10025.67 5069.38 -158.18 3.09 -0.06 -0.05 0.09 1 71.61 61.604 4382.318
10025.39 5069.27 -158.19 3.09 -0.06 -0.05 0.09 1 71.59 61.665 4382.02
10025.1 5069.17 -158.19 3.09 -0.06 -0.05 0.09 1 71.561 61.694 4381.714
10024.81 5069.06 -158.2 3.09 -0.06 -0.05 0.09 1 71.543 61.753 4381.405
10024.52 5068.95 -158.2 3.09 -0.06 -0.05 0.09 1 71.504 61.792 4381.097
10024.23 5068.84 -158.21 3.09 -0.06 -0.05 0.09 1 71.486 61.851 4380.788
10023.94 5068.73 -158.21 3.09 -0.07 -0.05 0.09 1 71.448 61.89 4380.48
10023.65 5068.62 -158.22 3.09 -0.07 -0.05 0.09 1 71.43 61.949 4380.171
10023.36 5068.51 -158.22 3.09 -0.07 -0.05 0.09 1 71.391 61.987 4379.863
10023.07 5068.41 -158.23 3.09 -0.07 -0.05 0.09 1 71.383 62.037 4379.557
10022.78 5068.3 -158.23 3.09 -0.07 -0.06 0.09 1 71.344 62.075 4379.248
10022.5 5068.19 -158.24 3.09 -0.07 -0.06 0.09 1 71.324 62.137 4378.949
10022.21 5068.08 -158.25 3.09 -0.07 -0.06 0.09 1 71.306 62.196 4378.641
10021.92 5067.97 -158.25 3.09 -0.07 -0.06 0.09 1 71.267 62.235 4378.332
10021.63 5067.87 -158.26 3.09 -0.07 -0.06 0.09 1 71.259 62.284 4378.026
10021.34 5067.76 -158.26 3.09 -0.07 -0.06 0.09 1 71.22 62.323 4377.718
10021.05 5067.65 -158.27 3.09 -0.07 -0.06 0.09 1 71.202 62.382 4377.409
10020.76 5067.54 -158.27 3.09 -0.07 -0.06 0.09 1 71.164 62.421 4377.101
10020.47 5067.44 -158.28 3.09 -0.08 -0.06 0.0 1 71.155 62.47 4376.795
10020.18 5067.33 -158.29 3.09 -0.08 -0.07 0.0 1 71.137 62.529 4376.486
10019.89 5067.22 -158.29 3.09 -0.08 -0.07 0.0 1 71.099 62.568 4376.178
10019.6 5067.11 -158.3 3.09 -0.08 -0.07 0.0 1 71.081 62.627 4375.869
10019.31 5067.01 -158.31 3.09 -0.09 -0.08 0.0 1 71.072 62.677 4375.563
10019.02 5066.9 -158.32 3.09 -0.09 -0.09 -0.16 1 71.054 62.736 4375.255
10018.73 5066.8 -158.33 3.09 -0.09 -0.09 -0.16 1 71.046 62.785 4374.949
10018.44 5066.69 -158.34 3.09 -0.1 -0.1 -0.16 1 71.028 62.844 4374.64
10018.15 5066.59 -158.35 3.09 -0.1 -0.11 -0.16 1 71.02 62.894 4374.334
10017.86 5066.48 -158.36 3.09 -0.1 -0.12 -0.16 1 71.002 62.953 4374.026
10017.57 5066.38 -158.37 3.09 -0.11 -0.13 -0.19 1 70.994 63.003 4373.72
10017.28 5066.27 -158.39 3.09 -0.11 -0.15 -0.19 1 70.996 63.083 4373.411
10016.99 5066.17 -158.4 3.08 -0.12 -0.16 -0.19 1 70.988 63.132 4373.105
10016.7 5066.07 -158.42 3.08 -0.12 -0.17 -0.19 1 71.0 63.202 4372.8
