Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-158.26 3.09 -0.09 -0.06 -0.25 1 4.258 4375.865
-158.27 3.09 -0.09 -0.07 -0.25 1 4.229 4375.559
-158.27 3.09 -0.1 -0.08 -0.25 1 4.191 4375.25
-158.28 3.09 -0.1 -0.08 -0.25 1 4.162 4374.944
-158.29 3.09 -0.1 -0.09 -0.25 1 4.123 4374.636
-158.3 3.09 -0.11 -0.1 -0.25 1 4.094 4374.33
-158.31 3.09 -0.11 -0.11 -0.25 1 4.056 4374.021
-158.32 3.09 -0.12 -0.12 -0.27 1 4.027 4373.715
-158.34 3.09 -0.12 -0.13 -0.27 1 3.998 4373.409
-158.35 3.08 -0.12 -0.15 -0.27 1 3.962 4373.091
-158.37 3.08 -0.13 -0.16 -0.27 1 3.933 4372.785
-158.38 3.08 -0.13 -0.17 -0.27 1 3.904 4372.479
-158.4 3.08 -0.14 -0.18 -0.32 1 3.875 4372.173
-158.42 3.08 -0.14 -0.2 -0.32 1 3.846 4371.868
-158.44 3.08 -0.14 -0.21 -0.32 1 3.817 4371.562
-158.46 3.08 -0.15 -0.22 -0.32 1 3.788 4371.256
-158.48 3.08 -0.15 -0.23 -0.32 1 3.762 4370.94
-158.51 3.08 -0.15 -0.24 -0.35 1 3.733 4370.634
-158.53 3.07 -0.16 -0.25 -0.35 1 3.704 4370.328
-158.56 3.07 -0.16 -0.26 -0.35 1 3.675 4370.022
-158.58 3.07 -0.16 -0.27 -0.35 1 3.656 4369.719
-158.61 3.07 -0.16 -0.28 -0.35 1 3.627 4369.413
-158.64 3.07 -0.16 -0.29 -0.42 1 3.6 4369.097
-158.67 3.07 -0.17 -0.3 -0.42 1 3.581 4368.794
-158.7 3.06 -0.17 -0.31 -0.42 1 3.552 4368.488
-158.73 3.06 -0.17 -0.31 -0.42 1 3.533 4368.185
-158.76 3.06 -0.17 -0.32 -0.42 1 3.504 4367.879
-158.79 3.06 -0.17 -0.33 -0.61 1 3.475 4367.573
-158.83 3.06 -0.17 -0.33 -0.61 1 3.459 4367.26
-158.86 3.06 -0.17 -0.34 -0.61 1 3.439 4366.956
-158.89 3.05 -0.17 -0.34 -0.61 1 3.411 4366.65
-158.93 3.05 -0.17 -0.34 -0.61 1 3.391 4366.347
-158.96 3.05 -0.17 -0.35 -0.61 1 3.363 4366.041
-159.0 3.05 -0.17 -0.35 -0.61 1 3.343 4365.738
-159.03 3.05 -0.17 -0.35 -0.61 1 3.324 4365.434
-159.07 3.05 -0.17 -0.35 -0.61 1 3.295 4365.128
-159.1 3.04 -0.17 -0.35 -0.61 1 3.276 4364.825
-159.14 3.04 -0.17 -0.35 -0.61 1 3.257 4364.521
-159.17 3.04 -0.17 -0.35 -0.61 1 3.238 4364.218
-159.21 3.04 -0.17 -0.35 -0.61 1 3.219 4363.915
-159.24 3.04 -0.17 -0.35 -0.61 1 3.19 4363.609
-159.28 3.04 -0.17 -0.35 -0.61 1 3.171 4363.305
-159.31 3.04 -0.17 -0.35 -0.61 1 3.151 4363.002
-159.35 3.04 -0.17 -0.34 -0.61 1 3.132 4362.699
-159.38 3.04 -0.17 -0.34 -0.61 1 3.113 4362.395
-159.41 3.03 -0.16 -0.33 -0.61 1 3.084 4362.089
-159.45 3.03 -0.16 -0.33 -0.61 1 3.065 4361.786
-159.48 3.03 -0.16 -0.32 -0.61 1 3.046 4361.483
-159.51 3.03 -0.16 -0.32 -0.61 1 3.027 4361.179
-159.54 3.03 -0.16 -0.31 -0.61 1 3.008 4360.876
-159.57 3.03 -0.16 -0.3 -0.61 1 2.988 4360.572
-159.6 3.03 -0.16 -0.3 -0.61 1 2.969 4360.269
-159.63 3.03 -0.16 -0.29 -0.61 1 2.95 4359.966
-159.66 3.03 -0.16 -0.28 -0.61 1 2.931 4359.662
-159.69 3.03 -0.15 -0.27 -0.61 1 2.912 4359.359
-159.72 3.03 -0.15 -0.27 -0.61 1 2.883 4359.053
-159.74 3.03 -0.15 -0.26 -0.61 1 2.864 4358.75
-159.77 3.03 -0.15 -0.25 -0.61 1 2.845 4358.446
-159.79 3.03 -0.15 -0.24 -0.61 1 2.825 4358.143
-159.82 3.04 -0.15 -0.23 -0.61 1 2.806 4357.839
-159.84 3.04 -0.15 -0.22 -0.61 1 2.787 4357.536
-159.86 3.04 -0.15 -0.21 -0.61 1 2.768 4357.233
-159.88 3.04 -0.14 -0.2 -0.61 1 2.749 4356.929
-159.9 3.04 -0.14 -0.19 -0.61 1 2.73 4356.626
-159.92 3.04 -0.14 -0.18 -0.61 1 2.71 4356.323
-159.94 3.04 -0.14 -0.17 -0.61 1 2.691 4356.019
-159.95 3.04 -0.14 -0.16 -0.61 1 2.662 4355.713
-159.97 3.04 -0.14 -0.15 -0.61 1 2.643 4355.41
-159.98 3.04 -0.14 -0.14 -0.61 1 2.624 4355.106
-160.0 3.05 -0.14 -0.13 -0.61 1 2.605 4354.803
-160.01 3.05 -0.14 -0.12 -0.61 1 2.586 4354.5
-160.02 3.05 -0.14 -0.11 -0.61 1 2.569 4354.187
-160.03 3.05 -0.13 -0.1 -0.61 1 2.55 4353.883
-160.04 3.05 -0.13 -0.1 -0.61 1 2.521 4353.577
-160.05 3.05 -0.13 -0.09 -0.61 1 2.502 4353.274
-160.06 3.05 -0.13 -0.08 -0.61 1 2.482 4352.971
-160.07 3.06 -0.13 -0.07 -0.61 1 2.463 4352.667
-160.07 3.06 -0.13 -0.06 -0.61 3 2.444 4352.364
-160.08 3.06 -0.13 -0.06 -0.61 3 2.427 4352.051
-160.08 3.06 -0.13 -0.05 -0.61 3 2.398 4351.745
-160.09 3.06 -0.13 -0.05 -0.61 3 2.379 4351.441
-160.09 3.06 -0.13 -0.04 -0.61 3 2.36 4351.138
-160.1 3.06 -0.13 -0.03 -0.61 3 2.343 4350.825
-160.1 3.07 -0.13 -0.03 -0.61 3 2.314 4350.519
-160.1 3.07 -0.12 -0.03 -0.61 3 2.295 4350.216
-160.11 3.07 -0.12 -0.02 -0.61 3 2.276 4349.912
-160.11 3.07 -0.12 -0.02 -0.61 3 2.259 4349.599
-160.11 3.07 -0.12 -0.02 -0.61 3 2.23 4349.293
-160.11 3.07 -0.12 -0.01 -0.61 3 2.211 4348.99
-160.11 3.07 -0.12 -0.01 -0.61 3 2.192 4348.687
-160.11 3.07 -0.12 -0.01 -0.61 3 2.166 4348.371
-160.11 3.07 -0.12 -0.01 -0.61 3 2.146 4348.068
-160.12 3.07 -0.12 -0.01 -0.61 3 2.127 4347.764
-160.12 3.07 -0.12 -0.01 -0.61 3 2.101 4347.449
-160.12 3.07 -0.12 -0.01 -0.61 3 2.081 4347.145
-160.12 3.07 -0.11 -0.02 -0.61 3 2.062 4346.842
-160.12 3.07 -0.11 -0.02 -0.61 3 2.036 4346.526
-160.12 3.07 -0.11 -0.02 -0.61 3 2.017 4346.223
-160.13 3.07 -0.11 -0.03 -0.61 3 1.988 4345.917
-160.13 3.07 -0.11 -0.03 -0.61 3 1.969 4345.614
-160.13 3.07 -0.11 -0.04 -0.61 3 1.952 4345.301
-160.14 3.07 -0.11 -0.04 -0.61 3 1.923 4344.995
-160.14 3.07 -0.11 -0.05 -0.6 3 1.904 4344.691
-160.15 3.07 -0.1 -0.05 -0.6 3 1.875 4344.385
-160.15 3.07 -0.1 -0.06 -0.6 3 1.856 4344.082
-160.16 3.06 -0.1 -0.07 -0.6 3 1.829 4343.766
-160.16 3.06 -0.1 -0.07 -0.6 3 1.81 4343.463
-160.17 3.06 -0.1 -0.08 -0.6 3 1.791 4343.16
-160.18 3.06 -0.09 -0.09 -0.6 3 1.762 4342.854
-160.19 3.06 -0.09 -0.1 -0.6 3 1.743 4342.55
-160.2 3.06 -0.09 -0.11 -0.6 3 1.714 4342.244
-160.21 3.05 -0.09 -0.12 -0.6 3 1.695 4341.941
-160.22 3.05 -0.09 -0.13 -0.6 3 1.666 4341.635
-160.24 3.05 -0.08 -0.14 -0.6 3 1.647 4341.332
-160.25 3.05 -0.08 -0.15 -0.6 3 1.618 4341.026
-160.27 3.04 -0.08 -0.16 -0.6 3 1.589 4340.72
-160.28 3.04 -0.08 -0.17 -0.6 3 1.57 4340.416
-160.3 3.04 -0.07 -0.18 -0.6 3 1.541 4340.11
-160.32 3.03 -0.07 -0.19 -0.6 3 1.522 4339.807
-160.34 3.03 -0.07 -0.2 -0.6 3 1.493 4339.501
-160.36 3.03 -0.07 -0.21 -0.6 3 1.471 4339.207
-160.38 3.02 -0.06 -0.22 -0.6 3 1.442 4338.901
-160.4 3.02 -0.06 -0.22 -0.6 3 1.423 4338.598
-160.42 3.02 -0.06 -0.23 -0.6 3 1.392 4338.302
-160.45 3.02 -0.05 -0.24 -0.6 3 1.363 4337.996
-160.47 3.01 -0.05 -0.25 -0.6 3 1.344 4337.693
-160.5 3.01 -0.05 -0.26 -0.6 3 1.313 4337.396
-160.52 3.01 -0.05 -0.27 -0.6 3 1.294 4337.093
-160.55 3.0 -0.04 -0.28 -0.6 3 1.262 4336.797
-160.58 3.0 -0.04 -0.29 -0.6 3 1.231 4336.5
-160.61 3.0 -0.04 -0.29 -0.6 3 1.212 4336.197
-160.64 2.99 -0.04 -0.3 -0.6 3 1.181 4335.901
-160.67 2.99 -0.03 -0.31 -0.6 3 1.161 4335.597
-160.7 2.99 -0.03 -0.31 -0.6 3 1.13 4335.301
-160.73 2.98 -0.03 -0.32 -0.6 3 1.109 4335.007
-160.76 2.98 -0.03 -0.32 -0.6 3 1.077 4334.711
-160.79 2.98 -0.02 -0.33 -0.6 3 1.049 4334.405
-160.82 2.98 -0.02 -0.33 -0.6 3 1.027 4334.111
-160.86 2.97 -0.02 -0.33 -0.6 3 0.996 4333.815
-160.89 2.97 -0.02 -0.34 -0.6 3 0.974 4333.521
-160.92 2.97 -0.01 -0.34 -0.6 3 0.943 4333.225
-160.96 2.97 -0.01 -0.34 -0.6 3 0.912 4332.929
-160.99 2.96 -0.01 -0.34 -0.6 3 0.89 4332.635
-161.03 2.96 -0.01 -0.34 -0.6 3 0.859 4332.339
-161.06 2.96 -0.01 -0.34 -0.6 3 0.838 4332.045
-161.09 2.96 -0.01 -0.34 -0.6 3 0.806 4331.749
-161.13 2.96 -0.01 -0.34 -0.6 3 0.785 4331.455
-161.16 2.96 -0.0 -0.33 -0.6 3 0.754 4331.159
-161.19 2.96 -0.0 -0.33 -0.6 3 0.732 4330.865
-161.23 2.95 -0.0 -0.33 -0.6 3 0.701 4330.569
-161.26 2.95 -0.0 -0.32 -0.6 3 0.679 4330.275
-161.29 2.95 -0.0 -0.32 -0.6 3 0.648 4329.979
-161.32 2.95 -0.0 -0.31 -0.6 3 0.626 4329.685
-161.35 2.95 -0.0 -0.3 -0.6 3 0.595 4329.389
-161.38 2.95 -0.0 -0.3 -0.6 3 0.574 4329.095
-161.41 2.95 -0.0 -0.29 -0.6 3 0.552 4328.802
-161.44 2.95 -0.0 -0.28 -0.6 3 0.521 4328.505
-161.47 2.95 -0.0 -0.27 -0.6 3 0.499 4328.212
-161.5 2.96 -0.0 -0.26 -0.6 3 0.468 4327.915
-161.52 2.96 -0.0 -0.26 -0.6 3 0.447 4327.622
-161.55 2.96 -0.0 -0.25 -0.6 3 0.425 4327.328
-161.57 2.96 -0.01 -0.24 -0.6 3 0.396 4327.022
-161.59 2.96 -0.01 -0.22 -0.6 3 0.375 4326.728
-161.62 2.96 -0.01 -0.21 -0.6 3 0.353 4326.435
-161.64 2.97 -0.01 -0.2 -0.6 3 0.332 4326.141
-161.66 2.97 -0.01 -0.19 -0.6 3 0.3 4325.845
-161.68 2.97 -0.01 -0.18 -0.6 3 0.279 4325.551
-161.69 2.97 -0.02 -0.17 -0.6 3 0.26 4325.248
-161.71 2.97 -0.02 -0.16 -0.6 3 0.238 4324.954
-161.73 2.98 -0.02 -0.14 -0.6 3 0.217 4324.66
-161.74 2.98 -0.02 -0.13 -0.6 3 0.188 4324.354
-161.75 2.98 -0.03 -0.12 -0.6 3 0.166 4324.061
-161.76 2.99 -0.03 -0.1 -0.6 3 0.145 4323.767
-161.77 2.99 -0.03 -0.09 -0.6 3 0.126 4323.464
-161.78 2.99 -0.03 -0.08 -0.6 3 0.104 4323.17
-161.79 3.0 -0.04 -0.07 -0.6 3 0.085 4322.866
-161.8 3.0 -0.04 -0.05 -0.6 3 0.066 4322.563
-161.8 3.01 -0.04 -0.04 -0.6 3 0.044 4322.269
-161.8 3.01 -0.05 -0.03 -0.6 3 0.025 4321.966
-161.81 3.01 -0.05 -0.01 -0.6 3 0.006 4321.663
-161.81 3.02 -0.05 -0.0 -0.6 3 -0.016 4321.369
-161.81 3.02 -0.06 0.01 -0.6 3 -0.035 4321.066
-161.8 3.03 -0.06 0.02 -0.6 4 -0.054 4320.762
-161.8 3.03 -0.07 0.03 -0.6 4 -0.063 4320.461
-161.8 3.03 -0.07 0.05 -0.6 4 -0.083 4320.158
-161.79 3.04 -0.07 0.06 -0.6 4 -0.102 4319.855
-161.79 3.04 -0.08 0.07 -0.6 4 -0.121 4319.551
-161.78 3.05 -0.08 0.08 -0.6 4 -0.138 4319.238
-161.77 3.05 -0.09 0.09 -0.6 4 -0.147 4318.937
-161.76 3.06 -0.09 0.1 -0.6 4 -0.166 4318.634
-161.75 3.06 -0.1 0.11 -0.6 4 -0.185 4318.331
-161.74 3.07 -0.1 0.12 -0.6 4 -0.193 4318.02
-161.73 3.07 -0.11 0.13 -0.6 4 -0.212 4317.717
-161.71 3.07 -0.11 0.13 -0.6 4 -0.229 4317.404
-161.7 3.08 -0.12 0.14 -0.6 4 -0.238 4317.103
-161.69 3.08 -0.12 0.15 -0.6 4 -0.255 4316.79
-161.67 3.09 -0.13 0.15 -0.6 4 -0.262 4316.479
