Navio: Suezmax L280B50T17
Cenário: NE - pos2035 - 2
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn NE 
Onda: 1.0m 8s NE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
11556.45 5443.91 200.72 3.19 -0.41 0.02 0.1 1 73.131 55.423 4801.969
11554.89 5443.54 200.73 3.19 -0.41 0.02 0.1 1 73.118 55.398 4800.365
11553.32 5443.16 200.73 3.19 -0.41 0.01 0.1 1 73.122 55.403 4798.75
11551.76 5442.79 200.74 3.19 -0.41 0.01 0.1 1 73.109 55.378 4797.147
11550.2 5442.41 200.75 3.19 -0.41 0.01 0.1 1 73.087 55.362 4795.541
11548.63 5442.04 200.76 3.19 -0.41 0.01 0.1 1 73.077 55.335 4793.928
11547.06 5441.66 200.76 3.2 -0.41 0.01 0.09 1 73.08 55.34 4792.313
11545.5 5441.28 200.77 3.2 -0.41 0.01 0.09 1 73.058 55.325 4790.707
11543.93 5440.91 200.78 3.2 -0.41 0.01 0.08 1 73.048 55.297 4789.094
11542.36 5440.53 200.78 3.21 -0.41 0.01 0.08 1 73.051 55.303 4787.479
11540.79 5440.16 200.79 3.21 -0.41 0.01 0.07 1 73.041 55.275 4785.866
11539.21 5439.78 200.79 3.21 -0.41 0.01 0.07 1 73.047 55.278 4784.241
11537.64 5439.4 200.8 3.21 -0.41 0.01 0.07 1 73.027 55.26 4782.626
11536.07 5439.03 200.81 3.21 -0.41 0.01 0.07 1 73.017 55.233 4781.013
11534.49 5438.65 200.81 3.21 -0.41 0.01 0.07 1 73.023 55.236 4779.388
11532.92 5438.27 200.82 3.21 -0.41 0.01 0.07 1 73.003 55.218 4777.772
11531.35 5437.89 200.83 3.2 -0.41 0.01 0.07 1 72.983 55.2 4776.157
11529.78 5437.51 200.83 3.2 -0.4 0.01 0.07 1 72.987 55.206 4774.542
11528.22 5437.13 200.84 3.2 -0.4 0.01 0.08 1 72.964 55.19 4772.936
11526.65 5436.75 200.84 3.19 -0.4 0.01 0.08 1 72.968 55.196 4771.321
11525.09 5436.37 200.85 3.19 -0.4 0.01 0.08 1 72.946 55.18 4769.715
11523.53 5435.99 200.85 3.19 -0.4 0.01 0.08 1 72.947 55.188 4768.109
11521.97 5435.61 200.86 3.19 -0.4 0.01 0.09 1 72.924 55.172 4766.504
11520.41 5435.22 200.86 3.18 -0.4 0.01 0.09 1 72.916 55.19 4764.896
11518.85 5434.84 200.87 3.18 -0.4 0.01 0.09 1 72.894 55.174 4763.29
11517.29 5434.46 200.87 3.18 -0.4 0.01 0.09 1 72.895 55.182 4761.685
11515.74 5434.08 200.88 3.18 -0.4 0.01 0.08 1 72.87 55.169 4760.089
11514.18 5433.69 200.88 3.18 -0.4 0.01 0.08 1 72.862 55.186 4758.481
11512.62 5433.31 200.89 3.18 -0.4 0.01 0.08 1 72.839 55.171 4756.875
11511.06 5432.93 200.89 3.19 -0.4 0.01 0.07 1 72.841 55.179 4755.269
11509.5 5432.55 200.9 3.19 -0.4 0.01 0.07 1 72.818 55.163 4753.664
11507.94 5432.17 200.9 3.19 -0.4 0.01 0.06 1 72.82 55.171 4752.058
11506.38 5431.79 200.91 3.19 -0.4 0.01 0.06 1 72.797 55.155 4750.453
11504.82 5431.4 200.91 3.19 -0.4 0.01 0.05 1 72.789 55.173 4748.845
11503.25 5431.02 200.91 3.19 -0.4 0.01 0.05 1 72.792 55.179 4747.229
11501.69 5430.64 200.92 3.19 -0.4 0.01 0.05 1 72.77 55.163 4745.624
11500.13 5430.26 200.92 3.19 -0.4 0.01 0.05 1 72.771 55.171 4744.018
11498.56 5429.87 200.93 3.19 -0.4 0.01 0.06 1 72.742 55.163 4742.4
11497.0 5429.49 200.93 3.19 -0.4 0.01 0.06 1 72.743 55.171 4740.795
11495.44 5429.1 200.93 3.19 -0.39 0.01 0.06 1 72.735 55.188 4739.187
11493.88 5428.71 200.94 3.19 -0.39 0.01 0.07 1 72.703 55.183 4737.579
11492.32 5428.33 200.94 3.19 -0.39 0.01 0.07 1 72.704 55.19 4735.973
11490.77 5427.94 200.95 3.18 -0.39 0.01 0.07 1 72.669 55.187 4734.375
11489.21 5427.55 200.95 3.18 -0.39 0.01 0.08 1 72.661 55.205 4732.767
11487.66 5427.16 200.95 3.18 -0.39 0.01 0.08 1 72.65 55.225 4731.169
11486.11 5426.78 200.96 3.18 -0.39 0.01 0.08 1 72.625 55.211 4729.573
11484.55 5426.39 200.96 3.17 -0.39 0.01 0.08 1 72.617 55.229 4727.965
11483.0 5426.0 200.96 3.17 -0.39 0.01 0.08 1 72.606 55.249 4726.367
11481.45 5425.61 200.97 3.17 -0.39 0.01 0.07 1 72.572 55.245 4724.768
11479.91 5425.23 200.97 3.17 -0.39 0.01 0.07 1 72.568 55.258 4723.182
11478.36 5424.84 200.97 3.17 -0.39 0.01 0.07 1 72.557 55.278 4721.584
11476.81 5424.46 200.97 3.17 -0.39 0.01 0.06 1 72.556 55.288 4719.988
11475.25 5424.07 200.98 3.17 -0.39 0.01 0.06 1 72.524 55.282 4718.38
11473.7 5423.69 200.98 3.17 -0.39 0.01 0.05 1 72.523 55.292 4716.784
11472.15 5423.3 200.98 3.18 -0.39 0.01 0.05 1 72.512 55.312 4715.186
11470.6 5422.91 200.99 3.18 -0.39 0.01 0.05 1 72.478 55.309 4713.588
11469.04 5422.53 200.99 3.18 -0.39 0.01 0.05 1 72.479 55.317 4711.982
11467.49 5422.14 200.99 3.18 -0.39 0.01 0.05 1 72.468 55.337 4710.384
11465.93 5421.76 200.99 3.18 -0.39 0.01 0.05 1 72.47 55.345 4708.778
11464.38 5421.37 201.0 3.18 -0.39 0.01 0.05 1 72.435 55.341 4707.18
11462.83 5420.98 201.0 3.18 -0.39 0.01 0.05 1 72.424 55.361 4705.582
