Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1 nó 
Vento: SE 20 nós 
Onda: 2m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-158.31 3.09 -0.09 -0.09 0.01 1 4.128 4374.956
-158.32 3.09 -0.09 -0.1 0.01 1 4.099 4374.65
-158.33 3.09 -0.1 -0.1 0.01 1 4.06 4374.341
-158.34 3.08 -0.1 -0.11 0.01 1 4.031 4374.036
-158.35 3.08 -0.1 -0.12 0.01 1 3.993 4373.727
-158.37 3.08 -0.11 -0.13 0.01 1 3.964 4373.421
-158.38 3.08 -0.11 -0.14 0.01 1 3.925 4373.113
-158.4 3.08 -0.11 -0.15 0.01 1 3.896 4372.807
-158.41 3.08 -0.12 -0.17 0.01 1 3.868 4372.501
-158.43 3.08 -0.12 -0.18 0.01 1 3.839 4372.195
-158.45 3.08 -0.12 -0.19 0.01 1 3.802 4371.877
-158.47 3.08 -0.13 -0.2 0.01 1 3.774 4371.571
-158.49 3.08 -0.13 -0.21 0.01 1 3.745 4371.265
-158.51 3.08 -0.13 -0.22 0.01 1 3.716 4370.959
-158.53 3.07 -0.14 -0.23 0.01 1 3.687 4370.653
-158.55 3.07 -0.14 -0.24 0.01 1 3.658 4370.347
-158.58 3.07 -0.14 -0.25 0.01 1 3.629 4370.041
-158.6 3.07 -0.14 -0.26 0.01 1 3.6 4369.735
-158.63 3.07 -0.14 -0.27 0.01 1 3.571 4369.429
-158.66 3.07 -0.15 -0.27 0.01 1 3.552 4369.126
-158.69 3.07 -0.15 -0.28 0.01 1 3.526 4368.81
-158.71 3.06 -0.15 -0.29 0.01 1 3.497 4368.504
-158.74 3.06 -0.15 -0.29 0.01 1 3.468 4368.198
-158.77 3.06 -0.15 -0.3 0.01 1 3.449 4367.895
-158.8 3.06 -0.15 -0.31 0.01 1 3.42 4367.589
-158.83 3.06 -0.15 -0.31 0.01 1 3.391 4367.283
-158.86 3.06 -0.15 -0.32 0.01 1 3.372 4366.98
-158.9 3.05 -0.15 -0.32 0.01 1 3.343 4366.674
